mes,Macau,Macau,Macau,Macau,Mossoró,Mossoró,Mossoró,Mossoró,,Reanálise Merra-2 
ano,Prec,UR,temp,Rad,Prec,UR,temp,Rad,,
jan.-00,"146,71","69,03870968","26,59258065","34,93774194",67,"73,70774194","27,35","35,2783871",,
fev.-00,"218,31","74,8462069","26,01482759","34,92103448","129,65","75,71034483","27,39275862","35,56206897",,
mar.-00,"158,54","78,51548387","25,48258065","34,94258065","85,86","74,27451613","27,75451613","35,53322581",,
abr.-00,"189,28","83,71333333","24,96566667","34,65966667","192,16","80,05533333","27,261","35,98033333",,
mai.-00,"68,34","77,88032258","24,71645161","34,42774194","174,54","79,31677419","26,66","35,56419355",,
jun.-00,"48,14","69,77833333","25,19133333","34,52633333","300,07","80,98766667","25,941","35,3",,
jul.-00,"32,78","62,47225806","25,87709677","34,13032258","258,5","83,50774194","25,05677419","35,22419355",,
ago.-00,"61,71","58,80935484","25,70451613","33,47419355","133,29","79,2116129","24,99193548","34,53612903",,
set.-00,"15,99","50,04066667","27,97","34,37966667","116,78","77,46366667","25,63433333","34,555",,
out.-00,"6,65","43,62774194","28,92903226","33,95580645","7,53","72,11","26,11032258","34,12258065",,
nov.-00,"0,38","43,17433333","29,53733333","35,02166667","8,21","70,90733333","26,73233333","34,57866667",,
dez.-00,"41,52","51,4616129","28,58935484","34,80516129","40,14","73,66032258","26,86225806","34,74225806",,
jan.-01,"29,72","48,11129032","28,79935484","35,42548387","32,35","70,83967742","27,25870968","34,93129032",,
fev.-01,"75,22","57,54964286","27,91071429","35,63607143","24,3","71,08785714","27,70535714","35,01357143",,
mar.-01,"169,05","70,03709677","26,50419355","35,30580645","80,49","73,63612903","27,67129032","35,82419355",,
abr.-01,"105,4","74,47233333","25,71366667","35,30366667","199,41","80,03566667","26,92166667","36,25",,
mai.-01,"17,45","59,95935484","27,42741935","34,57193548","19,73","72,85064516","27,47645161","34,82322581",,
jun.-01,"42,06","59,32","26,39066667","34,61166667","188,23","77,79366667","26,165","35,54133333",,
jul.-01,"9,7","53,65967742","26,67193548","33,61483871","71,45","76,19387097","25,61129032","34,70516129",,
ago.-01,"7,54","45,96","26,6816129","32,35903226","50,24","72,2","25,24419355","33,9",,
set.-01,"1,13","41,78166667","28,83033333","33,44033333","20,92","70,67","25,965","33,91366667",,
